epoch,lr,loss,acc,step,val_loss,val_f1c,val_f1e
0.01,5e-05,3.080031633377075,0.12556053698062897,1,,,
0.02,5e-05,1.2630949020385742,0.04219409450888634,2,,,
0.03,5e-05,0.6139248013496399,0.004048583097755909,3,,,
0.04,5e-05,0.3895856738090515,0.0,4,,,
0.05,5e-05,0.4749155044555664,0.0,5,,,
0.06,5e-05,0.49330437183380127,0.0,6,,,
0.07,5e-05,0.49645671248435974,0.0,7,,,
0.08,5e-05,0.45292556285858154,0.0,8,,,
0.09,5e-05,0.5219016075134277,0.0,9,,,
0.1,5e-05,0.34142905473709106,0.0,10,0.489740252494812,6.644832673056047,0.0
0.11,5e-05,0.47614434361457825,0.0,11,0.489740252494812,6.644832673056047,0.0
0.12,5e-05,0.33565807342529297,0.0,12,0.489740252494812,6.644832673056047,0.0
0.13,5e-05,0.35291290283203125,0.0,13,0.489740252494812,6.644832673056047,0.0
0.14,5e-05,0.35253384709358215,0.0,14,0.489740252494812,6.644832673056047,0.0
0.15,5e-05,0.4102665185928345,0.0,15,0.489740252494812,6.644832673056047,0.0
0.16,5e-05,0.29382699728012085,0.0,16,0.489740252494812,6.644832673056047,0.0
0.17,5e-05,0.32180285453796387,0.0,17,0.489740252494812,6.644832673056047,0.0
0.18,5e-05,0.28631091117858887,0.0,18,0.489740252494812,6.644832673056047,0.0
0.19,5e-05,0.2554333806037903,0.012145749293267727,19,0.489740252494812,6.644832673056047,0.0
0.2,5e-05,0.19306716322898865,0.04926108196377754,20,0.31577715277671814,15.578582216697864,2.931846582716524
0.21,5e-05,0.23158977925777435,0.048192769289016724,21,0.31577715277671814,15.578582216697864,2.931846582716524
0.22,5e-05,0.24332746863365173,0.0791366919875145,22,0.31577715277671814,15.578582216697864,2.931846582716524
0.23,5e-05,0.16496986150741577,0.1666666716337204,23,0.31577715277671814,15.578582216697864,2.931846582716524
0.24,5e-05,0.19006142020225525,0.31734317541122437,24,0.31577715277671814,15.578582216697864,2.931846582716524
0.25,5e-05,0.22357229888439178,0.31578946113586426,25,0.31577715277671814,15.578582216697864,2.931846582716524
0.26,5e-05,0.18669816851615906,0.40808823704719543,26,0.31577715277671814,15.578582216697864,2.931846582716524
0.27,5e-05,0.16029228270053864,0.5249999761581421,27,0.31577715277671814,15.578582216697864,2.931846582716524
0.28,5e-05,0.14555972814559937,0.5414847135543823,28,0.31577715277671814,15.578582216697864,2.931846582716524
0.29,5e-05,0.12598013877868652,0.6788617968559265,29,0.31577715277671814,15.578582216697864,2.931846582716524
0.3,5e-05,0.1174522191286087,0.6340425610542297,30,0.18375366926193237,54.7412214049597,30.797465951574626
0.31,5e-05,0.16901586949825287,0.5088967680931091,31,0.18375366926193237,54.7412214049597,30.797465951574626
0.32,5e-05,0.09755168110132217,0.7175925970077515,32,0.18375366926193237,54.7412214049597,30.797465951574626
0.33,5e-05,0.11655831336975098,0.5720524191856384,33,0.18375366926193237,54.7412214049597,30.797465951574626
0.34,5e-05,0.108327217400074,0.7008547186851501,34,0.18375366926193237,54.7412214049597,30.797465951574626
0.35,5e-05,0.10816370695829391,0.7042253613471985,35,0.18375366926193237,54.7412214049597,30.797465951574626
0.36,5e-05,0.08452585339546204,0.7827869057655334,36,0.18375366926193237,54.7412214049597,30.797465951574626
0.37,5e-05,0.08839865773916245,0.77734375,37,0.18375366926193237,54.7412214049597,30.797465951574626
0.38,5e-05,0.08583416789770126,0.7424892783164978,38,0.18375366926193237,54.7412214049597,30.797465951574626
0.39,5e-05,0.1108151376247406,0.7752442955970764,39,0.18375366926193237,54.7412214049597,30.797465951574626
0.4,5e-05,0.06374276429414749,0.8099173307418823,40,0.12327394634485245,70.65746163435723,52.49730106710041
0.41,5e-05,0.09105416387319565,0.7760617733001709,41,0.12327394634485245,70.65746163435723,52.49730106710041
0.42,5e-05,0.08456264436244965,0.747826099395752,42,0.12327394634485245,70.65746163435723,52.49730106710041
0.43,5e-05,0.07990415394306183,0.7311320900917053,43,0.12327394634485245,70.65746163435723,52.49730106710041
0.44,5e-05,0.0999501496553421,0.7819548845291138,44,0.12327394634485245,70.65746163435723,52.49730106710041
0.45,5e-05,0.06331980973482132,0.8142856955528259,45,0.12327394634485245,70.65746163435723,52.49730106710041
0.46,5e-05,0.061153873801231384,0.824999988079071,46,0.12327394634485245,70.65746163435723,52.49730106710041
0.47,5e-05,0.053708430379629135,0.8589211702346802,47,0.12327394634485245,70.65746163435723,52.49730106710041
0.48,5e-05,0.06671435385942459,0.875,48,0.12327394634485245,70.65746163435723,52.49730106710041
0.49,5e-05,0.08448266237974167,0.7876448035240173,49,0.12327394634485245,70.65746163435723,52.49730106710041
0.5,5e-05,0.06270211935043335,0.8515284061431885,50,0.09131953865289688,77.63585095638354,61.03973109168034
0.51,5e-05,0.07660552114248276,0.7876105904579163,51,0.09131953865289688,77.63585095638354,61.03973109168034
0.52,5e-05,0.05273447930812836,0.8382353186607361,52,0.09131953865289688,77.63585095638354,61.03973109168034
